,method,n,mse_run,mse_method,mae_run,mae_method,hp,uid,epochs,mae_diff,mse_diff
0,Random,25,0.012076809883444574,0.00620731559548042,0.04705449159950941,0.038666355756688066,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_113950,400.0,0.008388135842821345,0.005869494287964154
1,Random,49,0.02794381043123808,0.04172030664584476,0.1042479384280759,0.13941404997596285,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_114007,303.0,0.035166111547886944,0.013776496214606679
2,Random,121,0.0005043473772977762,8.764525296603758e-05,0.006484135983742149,0.0039156617282376655,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_114020,400.0,0.0025684742555044833,0.0004167021243317386
3,Random,169,0.0005934791032007257,0.0005963313678216924,0.006299180364859273,0.006460274030242344,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_114040,400.0,0.00016109366538307086,2.85226462096676e-06
4,Random,529,1.4875102298035171e-05,2.5987340891188853e-05,0.0014270228726895712,0.0015258950809057252,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_114055,400.0,9.887220821615402e-05,1.1112238593153682e-05
5,Random,1849,8.861929407728935e-06,1.2152417803471898e-05,0.0009218502258402339,0.0010375431683402017,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_114116,400.0,0.00011569294249996786,3.2904883957429635e-06
6,Grid,25,0.003401212472201503,0.0016313972252747497,0.03374118914809896,0.020463263986303864,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_114156,400.0,0.013277925161795098,0.0017698152469267532
7,Grid,49,0.008689244728067433,0.027405546604184455,0.038806299832569266,0.05829712761686046,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_114209,400.0,0.019490827784291197,0.018716301876117024
8,Grid,121,9.345710729065476e-05,7.313879715506547e-05,0.003931350131574976,0.003236600454634224,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_114222,400.0,0.0006947496769407519,2.0318310135589293e-05
9,Grid,169,8.400037060398086e-05,8.203878395306337e-05,0.003495501235827062,0.0037561426034564407,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_114236,400.0,0.0002606413676293786,1.9615866509174913e-06
10,Grid,529,9.066942523424314e-06,5.6846672349023725e-06,0.0012142380654477324,0.0009995351707196723,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_114251,400.0,0.00021470289472806008,3.3822752885219416e-06
11,Grid,1849,3.8574615563193515e-06,5.498241772997025e-06,0.0009053345689703661,0.0009291974935591622,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_114312,400.0,2.386292458879608e-05,1.6407802166776736e-06
12,LatinHyperCube,25,0.0033922565472564894,0.0005989876993479652,0.02671785664899959,0.016609268338774356,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_114352,400.0,0.010108588310225233,0.0027932688479085244
13,LatinHyperCube,49,0.005079647538271615,0.0026499881141327187,0.029207829830327336,0.024614798825173468,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_114405,400.0,0.004593031005153868,0.0024296594241388966
14,LatinHyperCube,121,0.0004891398602944608,7.00077421105726e-05,0.006812921046072033,0.003993369437973317,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_114418,400.0,0.0028195516080987155,0.00041913211818388814
15,LatinHyperCube,169,0.00017295898682121073,0.00016395567120970468,0.003933489774329106,0.004755277081043761,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_114431,400.0,0.0008217873067146546,9.003315611506055e-06
16,LatinHyperCube,529,5.268731673375624e-05,2.483782328066977e-05,0.0016561725125349047,0.0014416611571924929,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_114446,400.0,0.00021451135534241187,2.784949345308647e-05
17,LatinHyperCube,1849,7.706414396046268e-05,6.927846403482333e-05,0.004576088899883201,0.004418461275510669,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_114507,211.0,0.00015762762437253157,7.785679925639358e-06
18,OrtogonalLatinHyperCube,25,0.0062253998171100415,0.002182008261684001,0.03696683109934391,0.031513729357137504,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_114529,356.0,0.005453101742206402,0.004043391555426041
19,OrtogonalLatinHyperCube,49,0.03585266654581581,0.026460843115109312,0.09135636541366349,0.07917101253110692,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_114541,167.0,0.012185352882556566,0.009391823430706495
20,OrtogonalLatinHyperCube,121,0.0008349546721053475,0.0019685805210048115,0.007100714838594815,0.011081117487928728,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_114547,400.0,0.003980402649333913,0.001133625848899464
21,OrtogonalLatinHyperCube,169,0.0001579429711092708,0.000149569003809254,0.0033603960941070952,0.004500156864670854,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_114601,400.0,0.0011397607705637587,8.373967300016801e-06
22,OrtogonalLatinHyperCube,529,1.3927576776053365e-05,1.2838754400194098e-05,0.0014186760050517249,0.0015070055633882946,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_114616,400.0,8.832955833656974e-05,1.0888223758592667e-06
23,OrtogonalLatinHyperCube,1849,0.00010469156100828387,0.0001406522967875059,0.004329971189408011,0.004601059218288167,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_114636,205.0,0.00027108802888015614,3.596073577922203e-05
24,GREEDYFP,25,0.005710161876713575,0.0014425745332162605,0.02911159403036217,0.022231228351550964,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_114700,400.0,0.0068803656788112046,0.0042675873434973146
25,GREEDYFP,49,0.0028527527733379385,0.0033454520919209956,0.027244624538450998,0.03205120560795486,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_114712,400.0,0.004806581069503862,0.0004926993185830572
26,GREEDYFP,121,0.00037914580387457113,0.0013408923713132317,0.006044472014181154,0.011767192797160967,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_114725,400.0,0.005722720782979813,0.0009617465674386606
27,GREEDYFP,169,4.4000339486046986e-05,0.00011009191170763938,0.0024501547253338,0.00347018755752189,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_114739,400.0,0.0010200328321880903,6.60915722215924e-05
28,GREEDYFP,529,3.091162106761506e-05,3.9044010611721335e-05,0.0020732492769744287,0.002255339262083856,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_114755,400.0,0.00018208998510942705,8.132389544106278e-06
29,GREEDYFP,1849,3.775867308054395e-06,3.6464680944051755e-06,0.0008926045393878997,0.0008728244888698321,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_114900,400.0,1.9780050518067543e-05,1.293992136492194e-07
